antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'High Education', 'Low_Poverty'})","frozenset({'Low_Crime', 'Low_Unemployment', 'Urban'})",0.1760280842527583,0.48495486459378134,0.14944834503510532,0.849002849002849,1.7506842615425862,1.0,0.06408266927160619,3.410959292973258,0.5203997434713876,0.292156862745098,0.7068273426598645,0.5785862228468226
frozenset({'High Education'}),"frozenset({'Low_Poverty', 'Low_Crime', 'Low_Unemployment', 'Urban'})",0.20661985957873621,0.43981945837512537,0.14944834503510532,0.7233009708737864,1.6445406338909123,1.0,0.0585729103056411,2.024512132889898,0.49399706428868395,0.30070635721493444,0.5060538369940287,0.5315478628599263
"frozenset({'High Education', 'Low_Unemployment'})","frozenset({'Low_Poverty', 'Low_Crime', 'Urban'})",0.20310932798395184,0.44784353059177534,0.14944834503510532,0.7358024691358025,1.642990059862027,1.0,0.05848714649464945,2.0899380384143083,0.4911007302723,0.298,0.5215169150379566,0.5347545380393458
frozenset({'High Education'}),"frozenset({'Low_Crime', 'Low_Unemployment', 'Urban'})",0.20661985957873621,0.48495486459378134,0.1629889669007021,0.7888349514563107,1.62661519462656,1.0,0.06278766087630998,2.439064319394966,0.4855509092677235,0.3083491461100569,0.5900067119804123,0.5624629772793446
frozenset({'High Education'}),"frozenset({'Low_Poverty', 'Low_Crime', 'Urban'})",0.20661985957873621,0.44784353059177534,0.14944834503510532,0.7233009708737864,1.615075180204177,1.0,0.05691497763098724,1.9955128543525311,0.48001425432084094,0.2959285004965243,0.4988756911192826,0.5285037889083377
"frozenset({'High Education', 'Low_Poverty', 'Low_Unemployment'})","frozenset({'Low_Crime', 'Urban'})",0.1760280842527583,0.526579739217653,0.14944834503510532,0.849002849002849,1.6122968389635055,1.0,0.05675552233430481,3.1352926704642217,0.46089776844616365,0.27017225747960105,0.6810505094403398,0.5664061864061863
"frozenset({'High Education', 'Low_Poverty'})","frozenset({'Low_Crime', 'Urban'})",0.1760280842527583,0.526579739217653,0.14944834503510532,0.849002849002849,1.6122968389635055,1.0,0.05675552233430481,3.1352926704642217,0.46089776844616365,0.27017225747960105,0.6810505094403398,0.5664061864061863
"frozenset({'Low_Poverty', 'Rural'})","frozenset({'Low_Crime', 'Low_Unemployment', 'Low_Education'})",0.11334002006018054,0.46238716148445336,0.08274824473420261,0.7300884955752213,1.5789549459620296,1.0,0.030341274575984734,1.9918115000739927,0.41354038118744013,0.167853509664293,0.4979444591203276,0.4545236404123395
"frozenset({'High Education', 'Urban'})","frozenset({'Low_Poverty', 'Low_Crime', 'Low_Unemployment'})",0.17903711133400202,0.5391173520561685,0.14944834503510532,0.8347338935574229,1.5483343104683733,1.0,0.052926331652932715,2.788730598575386,0.4313771713684797,0.26278659611992944,0.6414139105043539,0.5559715979415021
"frozenset({'High Education', 'Low_Unemployment'})","frozenset({'Low_Crime', 'Urban'})",0.20310932798395184,0.526579739217653,0.1629889669007021,0.8024691358024691,1.5239271017048794,1.0,0.05603570993824,2.396690070210632,0.4314276032337707,0.2876106194690265,0.5827578991420799,0.5559964726631393
"frozenset({'High Education', 'Low_Unemployment', 'Urban'})","frozenset({'Low_Poverty', 'Low_Crime'})",0.17803410230692077,0.5551654964894684,0.14944834503510532,0.8394366197183099,1.512047533620876,1.0,0.05060995423582683,2.7704605043199773,0.4119941362182702,0.25601374570446733,0.6390491766835511,0.5543163225059481
frozenset({'High Education'}),"frozenset({'Low_Crime', 'Urban'})",0.20661985957873621,0.526579739217653,0.16399197592778336,0.7936893203883495,1.507253814147018,1.0,0.05519014415362436,2.29469585226267,0.42418724411092673,0.2881057268722467,0.5642123992101366,0.5525589459084604
